CellType	DiseaseTissue	Ident1	Ident2	Gene	Log2FC	pval	padj	stat
Cycling_TA	UC_R	I	NI	GCNT3	1.196	0.1137	0.6572	1.582
Cycling_TA	UC_R	I	NI	GTF2A2	-0.1589	0.6973	1	-0.389
Cycling_TA	UC_R	I	NI	BNIP2	0.156	0.4931	1	0.6854
Cycling_TA	UC_R	I	NI	ANXA2	-0.6005	0.07461	0.3268	-1.783
Cycling_TA	UC_R	I	NI	ICE2	0.1968	0.307	0.7785	1.022
Cycling_TA	UC_R	I	NI	RORA-AS1	-0.7093	0.0284	0.4014	-2.192
Cycling_TA	UC_R	I	NI	RORA	-1.368	0.01276	0.1855	-2.49
Cycling_TA	UC_R	I	NI	VPS13C	0.2587	0.1344	0.3741	1.497
Cycling_TA	UC_R	I	NI	TLN2	-0.3915	0.01123	0.1289	-2.536
Cycling_TA	UC_R	I	NI	TPM1	0.3667	0.1287	0.3911	1.519
Cycling_TA	UC_R	I	NI	LACTB	-0.5548	0.2623	1	-1.121
Cycling_TA	UC_R	I	NI	RPS27L	0.359	0.2604	1	1.126
Cycling_TA	UC_R	I	NI	RAB8B	-0.1062	0.8224	1	-0.2245
Cycling_TA	UC_R	I	NI	APH1B	0.5136	0.3128	1	1.009
Cycling_TA	UC_R	I	NI	CA12	-0.5497	0.1349	0.4043	-1.495
Cycling_TA	UC_R	I	NI	LINC02568	0.1183	0.8487	1	0.1908
Cycling_TA	UC_R	I	NI	USP3	-0.4797	0.007158	0.1372	-2.689
Cycling_TA	UC_R	I	NI	USP3-AS1	-0.9314	0.003597	0.2317	-2.911
Cycling_TA	UC_R	I	NI	HERC1	-0.07054	0.6417	0.8405	-0.4653
Cycling_TA	UC_R	I	NI	DAPK2	0.6552	0.007658	0.1193	2.667
Cycling_TA	UC_R	I	NI	CIAO2A	0.3914	0.2273	0.941	1.207
Cycling_TA	UC_R	I	NI	SNX1	0.3378	0.1287	0.4651	1.519
